Code,Disciplines,Function,Organinization_Country,Name,Gender
1993552,Boxing,Judge,PBU,SCAPPA Chiara,F
1993553,Boxing,Judge,PBU,SHEVELOVA Olha,F
1993554,Boxing,Judge,PBU,SHTYFURA Polina,F
1993555,Boxing,Judge,PBU,SOTO Andrews L,M
1993556,Boxing,Judge,PBU,TRIKALIOTIS Panagiotis,M
1993557,Boxing,Judge,PBU,VILLARREAL Angel Luis,M
1993558,Boxing,Judge,PBU,WONG William Alexander,M
1993629,Taekwondo,Referee,World Taekwondo,DAWANI Nadin,F
1994107,Boxing,Judge,PBU,RAVEL Stephanie,F
1994108,Boxing,Judge,PBU,MENARA Mario,M
1994109,Boxing,Judge,PBU,HADJRI Mokhtar,M
1994110,Boxing,Judge,PBU,GOSSELIN Severine,F
1994111,Boxing,Judge,PBU,SILBERMANN Philippe,M
1994112,Boxing,Judge,PBU,OUBAALI S Mail,M
1994151,Handball,Referee,IHF,GUILLEMOT Vincent,M
1994152,Handball,Referee,IHF,LEFORT Yohan,M
1994153,Handball,Referee,IHF,CASTAGNO Frederic,M
1994154,Handball,Referee,IHF,GRUMEL Nicolas,M
1994155,Handball,Referee,IHF,RICHEL Marie,F
1994156,Handball,Referee,IHF,VINCENT Tatiana,F
1994157,Handball,Referee,IHF,PRUDHOMME Eddy,M
1994158,Handball,Referee,IHF,LAMY Jacques,M
1994159,Handball,Referee,IHF,RENAULT Romain,M
1994160,Handball,Referee,IHF,de la CROIX Marie Laure,F
1994161,Handball,Referee,IHF,NOUVEL Jerome,M
1994162,Handball,Referee,IHF,BENRHAZAL Mohamed,M
1994163,Handball,Referee,IHF,SMITS Nathalie,F
1994164,Handball,Referee,IHF,CARON Christophe,M
1994165,Handball,Referee,IHF,FERRIER Eduardo,M
1994166,Handball,Referee,IHF,EL MEDIOUNI Najet,F
1994167,Handball,Referee,IHF,VAILLANT Patrice,M
1994168,Handball,Referee,IHF,CALLIGARIS Laurent,M
1994169,Handball,Referee,IHF,CALLIGARIS Florian,M
