Day,Discipline_Code,Event,Phase,Venue
2024-08-07,ATH,Men''s 800m,Men''s 800m Round 1,Stade de France
2024-08-07,SAL,Women''s Kite,Women''s Kite Opening Series,Marseille Marina
2024-08-07,WRE,Women''s Freestyle 53kg,WFS 53kg 1-4 Finals,Champ-de-Mars Arena
2024-08-07,WRE,Men''s Greco-Roman 67kg,MGR 67kg 1-4 Finals,Champ-de-Mars Arena
2024-08-07,WRE,Men''s Greco-Roman 87kg,MGR 87kg 1-4 Finals,Champ-de-Mars Arena
2024-08-07,SAL,Women''s Dinghy,Women''s Dinghy Medal Race,Marseille Marina
2024-08-07,SAL,Men''s Kite,Men''s Kite Opening Series,Marseille Marina
2024-08-07,SKB,Men''s Park,Men''s Park Prelims,La Concorde 4
2024-08-07,CLB,Women''s Speed,Women''s Speed Quarterfinals,Le Bourget Climbing Venue
2024-08-07,ATH,Women''s 1500m,Women''s 1500m Repechage Round,Stade de France
2024-08-07,CTR,Men''s Sprint,"Men''s Sprint, Qualifying",National Velodrome
2024-08-07,CLB,Women''s Speed,Women''s Speed Semifinals,Le Bourget Climbing Venue
2024-08-07,CLB,Women''s Speed,Women''s Speed Final,Le Bourget Climbing Venue
2024-08-07,SAL,Men''s Dinghy,Men''s Dinghy Medal Race,Marseille Marina
2024-08-07,CTR,Women''s Keirin,"Women''s Keirin, First Round",National Velodrome
2024-08-07,CSP,Women''s Kayak Single 500m,Women''s Kayak Single 500m Quarterfinals,Nautical St - Flat water
2024-08-07,CTR,Women''s Team Pursuit,"Women''s Team Pursuit, First Round",National Velodrome
2024-08-07,HOC,Women,Women''s Semi-finals,Yves-du-Manoir Stadium
2024-08-07,WPO,Men,Men''s Quarterfinals,Paris La Defense Arena
2024-08-07,CSP,Men''s Kayak Single 1000m,Men''s Kayak Single 1000m Quarterfinals,Nautical St - Flat water
2024-08-07,CTR,Men''s Sprint,"Men''s Sprint, 1-32 Finals",National Velodrome
2024-08-07,TKW,Women -49kg,Women -49kg Quarterfinals,Grand Palais
2024-08-07,CSP,Men''s Canoe Single 1000m,Men''s Canoe Single 1000m Quarterfinals,Nautical St - Flat water
2024-08-07,TKW,Men -58kg,Men -58kg Quarterfinals,Grand Palais
2024-08-07,DIV,Women''s 3m Springboard,Women''s 3m Springboard Preliminary,Aquatics Centre
2024-08-07,WLF,Men''s 61kg,Men''s 61kg,South Paris Arena 6
2024-08-07,CTR,Women''s Keirin,"Women''s Keirin, Repechages",National Velodrome
2024-08-07,CTR,Men''s Sprint,"Men''s Sprint, 1-32 Finals Repechages",National Velodrome
2024-08-07,VVO,Men,Men''s Semifinals,South Paris Arena 1
2024-08-07,TKW,Women -49kg,Women -49kg Semifinals,Grand Palais
2024-08-07,TKW,Men -58kg,Men -58kg Semifinals,Grand Palais
2024-08-07,VBV,Women,Women''s Quarterfinals,Eiffel Tower Stadium
2024-08-07,CTR,Men''s Sprint,"Men''s Sprint, 1-16 Finals",National Velodrome
2024-08-07,SKB,Men''s Park,Men''s Park Final,La Concorde 4
2024-08-07,CTR,Men''s Team Pursuit,"Men''s Team Pursuit, Finals",National Velodrome
2024-08-07,ATH,Women''s Pole Vault,Women''s Pole Vault Final,Stade de France
2024-08-07,WRE,Men''s Greco-Roman 67kg,MGR 67kg Semifinals,Champ-de-Mars Arena
2024-08-07,WRE,Men''s Greco-Roman 87kg,MGR 87kg Semifinals,Champ-de-Mars Arena
2024-08-07,CTR,Men''s Sprint,"Men''s Sprint, 1-16 Finals Repechages",National Velodrome
2024-08-07,WRE,Women''s Freestyle 53kg,WFS 53kg Semifinals,Champ-de-Mars Arena
2024-08-07,CTR,Women''s Team Pursuit,"Women''s Team Pursuit, Finals",National Velodrome
2024-08-07,WRE,Men''s Greco-Roman 77kg,MGR 77kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-07,ATH,Men''s 110m Hurdles,Men''s 110m Hurdles Semi-Final,Stade de France
2024-08-07,WRE,Men''s Greco-Roman 77kg,MGR 77kg Final,Champ-de-Mars Arena
2024-08-07,ATH,Men''s Triple Jump,Men''s Triple Jump Qualification,Stade de France
2024-08-07,WRE,Men''s Greco-Roman 97kg,MGR 97kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-07,SWA,Team,Team Final,Aquatics Centre
2024-08-07,TKW,Women -49kg,Women -49kg Repechages,Grand Palais
2024-08-07,WLF,Women''s 49kg,Women''s 49kg,South Paris Arena 6
2024-08-07,WRE,Men''s Greco-Roman 97kg,MGR 97kg Final,Champ-de-Mars Arena
2024-08-07,ATH,Men''s 400m Hurdles,Men''s 400m Hurdles Semi-Final,Stade de France
2024-08-07,CTR,Men''s Sprint,"Men''s Sprint, 1-8 Finals",National Velodrome
2024-08-07,WRE,Women''s Freestyle 50kg,WFS 50kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-07,TKW,Men -58kg,Men -58kg Repechages,Grand Palais
2024-08-07,WRE,Women''s Freestyle 50kg,WFS 50kg Final,Champ-de-Mars Arena
2024-08-07,TTE,Men''s Team,Men''s Team Semifinals,South Paris Arena 4
2024-08-07,ATH,Men''s 200m,Men''s 200m Semi-Final,Stade de France
2024-08-07,CTR,Men''s Sprint,"Men''s Sprint, 1-8 Finals Repechages",National Velodrome
2024-08-07,TKW,Women -49kg,Women -49kg Bronze Medal Contests,Grand Palais
2024-08-07,ATH,Men''s Discus Throw,Men''s Discus Throw Final,Stade de France
2024-08-07,TKW,Men -58kg,Men -58kg Bronze Medal Contests,Grand Palais
2024-08-07,ATH,Women''s 400m,Women''s 400m Semi-Final,Stade de France
2024-08-07,VBV,Men,Men''s Quarterfinals,Eiffel Tower Stadium
2024-08-07,TKW,Women -49kg,Women -49kg Gold Medal Contest,Grand Palais
2024-08-07,ATH,Men''s 400m,Men''s 400m Final,Stade de France
2024-08-07,BOX,Women''s 57kg,Women''s 57kg - Semifinals,Roland-Garros Stadium
2024-08-07,TKW,Men -58kg,Men -58kg Gold Medal Contest,Grand Palais
2024-08-07,ATH,Men''s 3000m Steeplechase,Men''s 3000m Steeplechase Final,Stade de France
2024-08-07,BOX,Men''s +92kg,Men''s +92kg - Semifinals,Roland-Garros Stadium
2024-08-07,BOX,Men''s 63.5kg,Men''s 63.5kg - Final,Roland-Garros Stadium
2024-08-07,BOX,Men''s 80kg,Men''s 80kg - Final,Roland-Garros Stadium
2024-08-08,OWS,Women''s 10km,Women''s 10km,Pont Alexandre III
2024-08-08,GLF,Women''s Individual Stroke Play,Women''s Individual Stroke Play,Le Golf National
2024-08-08,TKW,Men -68kg,Men -68kg Qualification Contest,Grand Palais
2024-08-08,TKW,Women -57kg,Women -57kg Round of 16,Grand Palais
2024-08-08,TKW,Men -68kg,Men -68kg Round of 16,Grand Palais
2024-08-08,DIV,Women''s 3m Springboard,Women''s 3m Springboard Semifinal,Aquatics Centre
2024-08-08,GRY,Individual All-Around,Individual All-Around Qualification,La Chapelle Arena
2024-08-08,CLB,Women''s Boulder & Lead,Women''s Boulder & Lead Semifinals,Le Bourget Climbing Venue
2024-08-08,TTE,Men''s Team,Men''s Team Semifinals,South Paris Arena 4
2024-08-08,ATH,Women''s Heptathlon,Women''s Heptathlon 100m Hurdles,Stade de France
2024-08-08,ATH,Women''s Shot Put,Women''s Shot Put Qualification,Stade de France
2024-08-08,CSP,Women''s Canoe Single 200m,Women''s Canoe Single 200m Heats,Nautical St - Flat water
2024-08-08,ATH,Women''s 100m Hurdles,Women''s 100m Hurdles Repechage Round,Stade de France
2024-08-08,MPN,Men''s Individual,Men''s Individual Ranking Round,North Paris Arena
2024-08-08,WRE,Men''s Greco-Roman 67kg,MGR 67kg Repechage,Champ-de-Mars Arena
2024-08-08,WRE,Women''s Freestyle 53kg,WFS 53kg Repechage,Champ-de-Mars Arena
2024-08-08,WRE,Men''s Greco-Roman 87kg,MGR 87kg Repechage,Champ-de-Mars Arena
2024-08-08,ATH,Women''s Heptathlon,Women''s Heptathlon High Jump,Stade de France
2024-08-08,ATH,Women''s 4 x 100m Relay,Women''s 4 x 100m Relay Round 1,Stade de France
2024-08-08,WRE,Men''s Freestyle 57kg,MFS 57kg 1-8 Finals,Champ-de-Mars Arena
2024-08-08,WRE,Women''s Freestyle 57kg,WFS 57kg 1-8 Finals,Champ-de-Mars Arena
2024-08-08,WRE,Men''s Freestyle 86kg,MFS 86kg 1-8 Finals,Champ-de-Mars Arena
2024-08-08,CSP,Men''s Canoe Double 500m,Men''s Canoe Double 500m Semifinals,Nautical St - Flat water
2024-08-08,ATH,Men''s 4 x 100m Relay,Men''s 4 x 100m Relay Round 1,Stade de France
2024-08-08,CSP,Women''s Kayak Four 500m,Women''s Kayak Four 500m Semifinals,Nautical St - Flat water
2024-08-08,SAL,Mixed Dinghy,Mixed Dinghy Medal Race,Marseille Marina
2024-08-08,CSP,Men''s Kayak Four 500m,Men''s Kayak Four 500m Semifinals,Nautical St - Flat water
2024-08-08,ATH,Men''s 800m,Men''s 800m Repechage Round,Stade de France
2024-08-08,WRE,Men''s Freestyle 57kg,MFS 57kg 1-4 Finals,Champ-de-Mars Arena
2024-08-08,WRE,Women''s Freestyle 57kg,WFS 57kg 1-4 Finals,Champ-de-Mars Arena
2024-08-08,WRE,Men''s Freestyle 86kg,MFS 86kg 1-4 Finals,Champ-de-Mars Arena
2024-08-08,SAL,Mixed Multihull,Mixed Multihull Medal Race,Marseille Marina
2024-08-08,CLB,Men''s Speed,Men''s Speed Quarterfinals,Le Bourget Climbing Venue
2024-08-08,CSP,Women''s Canoe Single 200m,Women''s Canoe Single 200m Quarterfinals,Nautical St - Flat water
2024-08-08,CLB,Men''s Speed,Men''s Speed Semifinals,Le Bourget Climbing Venue
2024-08-08,CLB,Men''s Speed,Men''s Speed Final,Le Bourget Climbing Venue
2024-08-08,WPO,Women,Women''s Classification 5th-8th,Paris La Defense Arena
2024-08-08,SAL,Men''s Kite,Men''s Kite Semifinals,Marseille Marina
2024-08-08,CSP,Men''s Canoe Double 500m,Men''s Canoe Double 500m Finals,Nautical St - Flat water
2024-08-08,SAL,Women''s Kite,Women''s Kite Semifinals,Marseille Marina
2024-08-08,CSP,Women''s Kayak Four 500m,Women''s Kayak Four 500m Finals,Nautical St - Flat water
2024-08-08,CSP,Men''s Kayak Four 500m,Men''s Kayak Four 500m Finals,Nautical St - Flat water
2024-08-08,HOC,Men,Men''s Finals,Yves-du-Manoir Stadium
2024-08-08,MPN,Women''s Individual,Women''s Individual Ranking Round,North Paris Arena
2024-08-08,TKW,Women -57kg,Women -57kg Quarterfinals,Grand Palais
2024-08-08,WPO,Women,Women''s Semifinals,Paris La Defense Arena
2024-08-08,TKW,Men -68kg,Men -68kg Quarterfinals,Grand Palais
2024-08-08,DIV,Men''s 3m Springboard,Men''s 3m Springboard Final,Aquatics Centre
2024-08-08,TTE,Women''s Team,Women''s Team Semifinals,South Paris Arena 4
2024-08-08,WLF,Women''s 59kg,Women''s 59kg,South Paris Arena 6
2024-08-08,SAL,Men''s Kite,Men''s Kite Final,Marseille Marina
2024-08-08,VVO,Women,Women''s Semifinals,South Paris Arena 1
2024-08-08,TKW,Women -57kg,Women -57kg Semifinals,Grand Palais
2024-08-08,TKW,Men -68kg,Men -68kg Semifinals,Grand Palais
2024-08-08,HBL,Women,Women''s Semifinals,Pierre Mauroy Stadium
2024-08-08,SAL,Women''s Kite,Women''s Kite Final,Marseille Marina
2024-08-08,VBV,Women,Women''s Semifinals,Eiffel Tower Stadium
2024-08-08,CTR,Men''s Omnium,"Men''s Omnium, Scratch Race 1-4",National Velodrome
2024-08-08,FBL,Men,Men''s Finals,La Beaujoire Stadium
2024-08-08,CTR,Women''s Keirin,"Women''s Keirin, Quarterfinals",National Velodrome
2024-08-08,BKB,Men,Men''s Semifinals,Bercy Arena
2024-08-08,CTR,Men''s Omnium,"Men''s Omnium, Tempo Race 2-4",National Velodrome
2024-08-08,VBV,Men,Men''s Semifinals,Eiffel Tower Stadium
2024-08-08,CTR,Men''s Sprint,"Men''s Sprint, Quarterfinals",National Velodrome
2024-08-08,CTR,Women''s Keirin,"Women''s Keirin, Semifinals",National Velodrome
2024-08-08,WRE,Men''s Freestyle 57kg,MFS 57kg Semifinals,Champ-de-Mars Arena
2024-08-08,CTR,Men''s Omnium,"Men''s Omnium, Elimination Race 3-4",National Velodrome
2024-08-08,WRE,Men''s Freestyle 86kg,MFS 86kg Semifinals,Champ-de-Mars Arena
2024-08-08,WRE,Women''s Freestyle 57kg,WFS 57kg Semifinals,Champ-de-Mars Arena
2024-08-08,WRE,Men''s Greco-Roman 67kg,MGR 67kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-08,CTR,Women''s Keirin,"Women''s Keirin, Finals",National Velodrome
2024-08-08,WRE,Men''s Greco-Roman 67kg,MGR 67kg Final,Champ-de-Mars Arena
2024-08-08,WRE,Men''s Greco-Roman 87kg,MGR 87kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-08,CTR,Men''s Omnium,"Men''s Omnium, Points Race 4-4",National Velodrome
2024-08-08,TKW,Men -68kg,Men -68kg Repechages,Grand Palais
2024-08-08,WLF,Men''s 73kg,Men''s 73kg,South Paris Arena 6
2024-08-08,WRE,Men''s Greco-Roman 87kg,MGR 87kg Final,Champ-de-Mars Arena
2024-08-08,ATH,Women''s 1500m,Women''s 1500m Semi-Final,Stade de France
2024-08-08,ATH,Women''s Heptathlon,Women''s Heptathlon Shot Put,Stade de France
2024-08-08,WRE,Women''s Freestyle 53kg,WFS 53kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-08,TKW,Women -57kg,Women -57kg Repechages,Grand Palais
2024-08-08,WRE,Women''s Freestyle 53kg,WFS 53kg Final,Champ-de-Mars Arena
2024-08-08,ATH,Women''s Long Jump,Women''s Long Jump Final,Stade de France
2024-08-08,CTR,Men''s Sprint,"Men''s Sprint, Finals",National Velodrome
2024-08-08,TKW,Men -68kg,Men -68kg Bronze Medal Contests,Grand Palais
2024-08-08,ATH,Men''s Javelin Throw,Men''s Javelin Throw Final,Stade de France
2024-08-08,ATH,Men''s 200m,Men''s 200m Final,Stade de France
2024-08-08,TKW,Women -57kg,Women -57kg Bronze Medal Contests,Grand Palais
2024-08-08,ATH,Women''s Heptathlon,Women''s Heptathlon 200m,Stade de France
2024-08-08,TKW,Men -68kg,Men -68kg Gold Medal Contest,Grand Palais
2024-08-08,ATH,Women''s 400m Hurdles,Women''s 400m Hurdles Final,Stade de France
2024-08-08,BOX,Men''s 57kg,Men''s 57kg - Semifinals,Roland-Garros Stadium
2024-08-08,TKW,Women -57kg,Women -57kg Gold Medal Contest,Grand Palais
2024-08-08,ATH,Men''s 110m Hurdles,Men''s 110m Hurdles Final,Stade de France
2024-08-08,BOX,Women''s 75kg,Women''s 75kg - Semifinals,Roland-Garros Stadium
2024-08-08,BOX,Men''s 51kg,Men''s 51kg - Final,Roland-Garros Stadium
2024-08-08,BOX,Women''s 54kg,Women''s 54kg - Final,Roland-Garros Stadium
2024-08-09,OWS,Men''s 10km,Men''s 10km,Pont Alexandre III
2024-08-09,GLF,Women''s Individual Stroke Play,Women''s Individual Stroke Play,Le Golf National
2024-08-09,TKW,Men -80kg,Men -80kg Qualification Contest,Grand Palais
2024-08-09,TKW,Women -67kg,Women -67kg Round of 16,Grand Palais
2024-08-09,TKW,Men -80kg,Men -80kg Round of 16,Grand Palais
2024-08-09,DIV,Men''s 10m Platform,Men''s 10m Platform Preliminary,Aquatics Centre
2024-08-09,GRY,Group All-Around,Group All-Around Qualification,La Chapelle Arena
2024-08-09,TTE,Men''s Team,Men''s Team Finals,South Paris Arena 4
2024-08-09,ATH,Women''s Heptathlon,Women''s Heptathlon Long Jump,Stade de France
2024-08-09,CLB,Men''s Boulder & Lead,Men''s Boulder & Lead Final,Le Bourget Climbing Venue
2024-08-09,CSP,Women''s Canoe Double 500m,Women''s Canoe Double 500m Semifinals,Nautical St - Flat water
2024-08-09,ATH,Women''s 4 x 400m Relay,Women''s 4 x 400m Relay Round 1,Stade de France
2024-08-09,CSP,Women''s Kayak Double 500m,Women''s Kayak Double 500m Semifinals,Nautical St - Flat water
2024-08-09,WRE,Men''s Freestyle 57kg,MFS 57kg Repechage,Champ-de-Mars Arena
2024-08-09,WRE,Women''s Freestyle 57kg,WFS 57kg Repechage,Champ-de-Mars Arena
2024-08-09,WRE,Men''s Freestyle 86kg,MFS 86kg Repechage,Champ-de-Mars Arena
2024-08-09,ATH,Men''s 4 x 400m Relay,Men''s 4 x 400m Relay Round 1,Stade de France
2024-08-09,WRE,Men''s Freestyle 74kg,MFS 74kg Qualifications,Champ-de-Mars Arena
2024-08-09,CSP,Men''s Kayak Double 500m,Men''s Kayak Double 500m Semifinals,Nautical St - Flat water
2024-08-09,WRE,Women''s Freestyle 62kg,WFS 62kg 1-8 Finals,Champ-de-Mars Arena
2024-08-09,WRE,Men''s Freestyle 125kg,MFS 125kg 1-8 Finals,Champ-de-Mars Arena
2024-08-09,WRE,Men''s Freestyle 74kg,MFS 74kg 1-8 Finals,Champ-de-Mars Arena
2024-08-09,ATH,Women''s Heptathlon,Women''s Heptathlon Javelin Throw,Stade de France
2024-08-09,ATH,Men''s 800m,Men''s 800m Semi-Final,Stade de France
2024-08-09,CSP,Men''s Canoe Single 1000m,Men''s Canoe Single 1000m Semifinals,Nautical St - Flat water
2024-08-09,ATH,Women''s 100m Hurdles,Women''s 100m Hurdles Semi-Final,Stade de France
2024-08-09,WRE,Women''s Freestyle 62kg,WFS 62kg 1-4 Finals,Champ-de-Mars Arena
2024-08-09,WRE,Men''s Freestyle 125kg,MFS 125kg 1-4 Finals,Champ-de-Mars Arena
2024-08-09,SAL,Men''s Kite,Men''s Kite Final,Marseille Marina
2024-08-09,WRE,Men''s Freestyle 74kg,MFS 74kg 1-4 Finals,Champ-de-Mars Arena
2024-08-09,CSP,Women''s Canoe Double 500m,Women''s Canoe Double 500m Finals,Nautical St - Flat water
2024-08-09,CSP,Women''s Kayak Double 500m,Women''s Kayak Double 500m Finals,Nautical St - Flat water
2024-08-09,MPN,Men''s Individual,Men''s Individual Semi-finals,Ch̢teau de Versailles
2024-08-09,WPO,Men,Men''s Classification 5th-8th,Paris La Defense Arena
2024-08-09,CSP,Men''s Kayak Double 500m,Men''s Kayak Double 500m Finals,Nautical St - Flat water
2024-08-09,CSP,Men''s Canoe Single 1000m,Men''s Canoe Single 1000m Finals,Nautical St - Flat water
2024-08-09,CTR,Women''s Sprint,"Women''s Sprint, Qualifying",National Velodrome
2024-08-09,HOC,Women,Women''s Finals,Yves-du-Manoir Stadium
2024-08-09,GRY,Individual All-Around,Individual All-Around Final,La Chapelle Arena
2024-08-09,TKW,Women -67kg,Women -67kg Quarterfinals,Grand Palais
2024-08-09,WPO,Men,Men''s Semifinals,Paris La Defense Arena
2024-08-09,TKW,Men -80kg,Men -80kg Quarterfinals,Grand Palais
2024-08-09,CTR,Men''s Sprint,"Men''s Sprint, Semifinals",National Velodrome
2024-08-09,CTR,Women''s Sprint,"Women''s Sprint, 1-32 Finals",National Velodrome
2024-08-09,DIV,Women''s 3m Springboard,Women''s 3m Springboard Final,Aquatics Centre
2024-08-09,FBL,Women,Women''s Finals,Lyon Stadium
2024-08-09,WLF,Men''s 89kg,Men''s 89kg,South Paris Arena 6
2024-08-09,CTR,Women''s Sprint,"Women''s Sprint, 1-32 Finals Repechages",National Velodrome
2024-08-09,BKG,B-Girls,B-Girls Pre-Qualifier,La Concorde 1
2024-08-09,VVO,Men,Men''s Finals,South Paris Arena 1
2024-08-09,BKG,B-Girls,B-Girls Round Robin - Group B,La Concorde 1
2024-08-09,TKW,Women -67kg,Women -67kg Semifinals,Grand Palais
2024-08-09,BKG,B-Girls,B-Girls Round Robin - Group C,La Concorde 1
2024-08-09,TKW,Men -80kg,Men -80kg Semifinals,Grand Palais
2024-08-09,HBL,Men,Men''s Semifinals,Pierre Mauroy Stadium
2024-08-09,BKG,B-Girls,B-Girls Round Robin - Group D,La Concorde 1
2024-08-09,BKG,B-Girls,B-Girls Round Robin - Group A,La Concorde 1
2024-08-09,BKB,Women,Women''s Semifinals,Bercy Arena
2024-08-09,CTR,Men''s Sprint,"Men''s Sprint, Finals",National Velodrome
2024-08-09,FBL,Men,Men''s Finals,Parc des Princes
2024-08-09,CTR,Women''s Madison,"Women''s Madison, Final",National Velodrome
2024-08-09,WRE,Men''s Freestyle 74kg,MFS 74kg Semifinals,Champ-de-Mars Arena
2024-08-09,WRE,Men''s Freestyle 125kg,MFS 125kg Semifinals,Champ-de-Mars Arena
2024-08-09,WRE,Women''s Freestyle 62kg,WFS 62kg Semifinals,Champ-de-Mars Arena
2024-08-09,CTR,Women''s Sprint,"Women''s Sprint, 1-16 Finals",National Velodrome
2024-08-09,WRE,Men''s Freestyle 57kg,MFS 57kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-09,SWA,Duet,Duet Final,Aquatics Centre
2024-08-09,ATH,Women''s 4 x 100m Relay,Women''s 4 x 100m Relay Final,Stade de France
2024-08-09,TKW,Women -67kg,Women -67kg Repechages,Grand Palais
2024-08-09,WLF,Women''s 71kg,Women''s 71kg,South Paris Arena 6
2024-08-09,WRE,Men''s Freestyle 57kg,MFS 57kg Final,Champ-de-Mars Arena
2024-08-09,ATH,Women''s Shot Put,Women''s Shot Put Final,Stade de France
2024-08-09,TKW,Men -80kg,Men -80kg Repechages,Grand Palais
2024-08-09,WRE,Men''s Freestyle 86kg,MFS 86kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-09,ATH,Men''s 4 x 100m Relay,Men''s 4 x 100m Relay Final,Stade de France
2024-08-09,CTR,Women''s Sprint,"Women''s Sprint, 1-16 Finals Repechages",National Velodrome
2024-08-09,ATH,Women''s 400m,Women''s 400m Final,Stade de France
2024-08-09,BKG,B-Girls,B-Girls Quarterfinals,La Concorde 1
2024-08-09,WRE,Men''s Freestyle 86kg,MFS 86kg Final,Champ-de-Mars Arena
2024-08-09,ATH,Men''s Triple Jump,Men''s Triple Jump Final,Stade de France
2024-08-09,WRE,Women''s Freestyle 57kg,WFS 57kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-09,TKW,Women -67kg,Women -67kg Bronze Medal Contests,Grand Palais
2024-08-09,ATH,Women''s Heptathlon,Women''s Heptathlon 800m,Stade de France
2024-08-09,TKW,Men -80kg,Men -80kg Bronze Medal Contests,Grand Palais
2024-08-09,WRE,Women''s Freestyle 57kg,WFS 57kg Final,Champ-de-Mars Arena
2024-08-09,BKG,B-Girls,B-Girls Semifinals,La Concorde 1
2024-08-09,ATH,"Women''s 10,000m","Women''s 10,000m Final",Stade de France
2024-08-09,VBV,Women,Women''s Finals,Eiffel Tower Stadium
2024-08-09,BKG,B-Girls,B-Girls Finals,La Concorde 1
2024-08-09,TKW,Women -67kg,Women -67kg Gold Medal Contest,Grand Palais
2024-08-09,BOX,Men''s 71kg,Men''s 71kg - Final,Roland-Garros Stadium
2024-08-09,TKW,Men -80kg,Men -80kg Gold Medal Contest,Grand Palais
2024-08-09,ATH,Men''s 400m Hurdles,Men''s 400m Hurdles Final,Stade de France
2024-08-09,BOX,Women''s 50kg,Women''s 50kg - Final,Roland-Garros Stadium
2024-08-09,BOX,Men''s 92kg,Men''s 92kg - Final,Roland-Garros Stadium
2024-08-09,BOX,Women''s 66kg,Women''s 66kg - Final,Roland-Garros Stadium
2024-08-10,ATH,Men''s Marathon,Men''s Marathon Final,Invalides
2024-08-10,GLF,Women''s Individual Stroke Play,Women''s Individual Stroke Play,Le Golf National
2024-08-10,TKW,Men +80kg,Men +80kg Qualification Contest,Grand Palais
2024-08-10,WPO,Women,Women''s Finals,Paris La Defense Arena
2024-08-10,TKW,Women +67kg,Women +67kg Round of 16,Grand Palais
2024-08-10,TKW,Men +80kg,Men +80kg Round of 16,Grand Palais
2024-08-10,MPN,Women''s Individual,Women''s Individual Semi-finals,Ch̢teau de Versailles
2024-08-10,DIV,Men''s 10m Platform,Men''s 10m Platform Semifinal,Aquatics Centre
2024-08-10,HBL,Women,Women''s Finals,Pierre Mauroy Stadium
2024-08-10,TTE,Women''s Team,Women''s Team Finals,South Paris Arena 4
2024-08-10,CLB,Women''s Boulder & Lead,Women''s Boulder & Lead Final,Le Bourget Climbing Venue
2024-08-10,CSP,Women''s Kayak Single 500m,Women''s Kayak Single 500m Semifinals,Nautical St - Flat water
2024-08-10,BKB,Men,Men''s Finals,Bercy Arena
2024-08-10,WRE,Men''s Freestyle 74kg,MFS 74kg Repechage,Champ-de-Mars Arena
2024-08-10,WRE,Women''s Freestyle 62kg,WFS 62kg Repechage,Champ-de-Mars Arena
2024-08-10,WRE,Men''s Freestyle 125kg,MFS 125kg Repechage,Champ-de-Mars Arena
2024-08-10,CSP,Men''s Kayak Single 1000m,Men''s Kayak Single 1000m Semifinals,Nautical St - Flat water
2024-08-10,WRE,Men''s Freestyle 65kg,MFS 65kg 1-8 Finals,Champ-de-Mars Arena
2024-08-10,WRE,Women''s Freestyle 76kg,WFS 76kg 1-8 Finals,Champ-de-Mars Arena
2024-08-10,WRE,Men''s Freestyle 97kg,MFS 97kg 1-8 Finals,Champ-de-Mars Arena
2024-08-10,WLF,Men''s 102kg,Men''s 102kg,South Paris Arena 6
2024-08-10,CSP,Women''s Canoe Single 200m,Women''s Canoe Single 200m Semifinals,Nautical St - Flat water
2024-08-10,WRE,Women''s Freestyle 76kg,WFS 76kg 1-4 Finals,Champ-de-Mars Arena
2024-08-10,WRE,Men''s Freestyle 97kg,MFS 97kg 1-4 Finals,Champ-de-Mars Arena
2024-08-10,WRE,Men''s Freestyle 65kg,MFS 65kg 1-4 Finals,Champ-de-Mars Arena
2024-08-10,CSP,Women''s Kayak Single 500m,Women''s Kayak Single 500m Finals,Nautical St - Flat water
2024-08-10,VVO,Men,Men''s Finals,South Paris Arena 1
2024-08-10,CSP,Men''s Kayak Single 1000m,Men''s Kayak Single 1000m Finals,Nautical St - Flat water
2024-08-10,CSP,Women''s Canoe Single 200m,Women''s Canoe Single 200m Finals,Nautical St - Flat water
2024-08-10,GRY,Group All-Around,Group All-Around Final,La Chapelle Arena
2024-08-10,TKW,Women +67kg,Women +67kg Quarterfinals,Grand Palais
2024-08-10,TKW,Men +80kg,Men +80kg Quarterfinals,Grand Palais
2024-08-10,DIV,Men''s 10m Platform,Men''s 10m Platform Final,Aquatics Centre
2024-08-10,BKG,B-Boys,B-Boys Round Robin - Group A,La Concorde 1
2024-08-10,WLF,Women''s 81kg,Women''s 81kg,South Paris Arena 6
2024-08-10,BKG,B-Boys,B-Boys Round Robin - Group B,La Concorde 1
2024-08-10,TKW,Women +67kg,Women +67kg Semifinals,Grand Palais
2024-08-10,BKG,B-Boys,B-Boys Round Robin - Group C,La Concorde 1
2024-08-10,BKG,B-Boys,B-Boys Round Robin - Group D,La Concorde 1
2024-08-10,TKW,Men +80kg,Men +80kg Semifinals,Grand Palais
2024-08-10,CTR,Women''s Sprint,"Women''s Sprint, 1-8 Finals",National Velodrome
2024-08-10,FBL,Women,Women''s Finals,Parc des Princes
2024-08-10,VVO,Women,Women''s Finals,South Paris Arena 1
2024-08-10,CTR,Men''s Keirin,"Men''s Keirin, First Round",National Velodrome
2024-08-10,MPN,Men''s Individual,Men''s Individual Final,Ch̢teau de Versailles
2024-08-10,CTR,Women''s Sprint,"Women''s Sprint, 1-8 Finals Repechages",National Velodrome
2024-08-10,CTR,Men''s Madison,"Men''s Madison, Final",National Velodrome
2024-08-10,WRE,Men''s Freestyle 65kg,MFS 65kg Semifinals,Champ-de-Mars Arena
2024-08-10,WRE,Men''s Freestyle 97kg,MFS 97kg Semifinals,Champ-de-Mars Arena
2024-08-10,WRE,Women''s Freestyle 76kg,WFS 76kg Semifinals,Champ-de-Mars Arena
