Day,Discipline_Code,Event,Phase,Venue
2024-07-30,VBV,Men,Men''s Preliminary - Pool F - Matches,Eiffel Tower Stadium
2024-07-30,FBL,Men,Men''s Group B,Lyon Stadium
2024-07-30,JUD,Men -81 kg,Men -81 kg Final,Champ-de-Mars Arena
2024-07-30,VVO,Men,Men''s Preliminary Round - Pool A,South Paris Arena 1
2024-07-30,JUD,Women -63 kg,Women -63 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-30,BKB,Men,Men''s Group Phase - Group B,Pierre Mauroy Stadium
2024-07-30,JUD,Women -63 kg,Women -63 kg Final,Champ-de-Mars Arena
2024-07-30,BK3,Women,Women''s Pool Round,La Concorde 1
2024-07-30,SHO,50m Rifle 3 Positions Men,50m Rifle 3 Positions Men''s Training,Chateauroux Shooting Ctr
2024-07-30,GAR,Women''s Team,Women''s Team Final,Bercy Arena
2024-07-30,BK3,Men,Men''s Pool Round,La Concorde 1
2024-07-30,FBL,Men,Men''s Group A,Marseille Stadium
2024-07-30,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp N,La Chapelle Arena
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp N,La Chapelle Arena
2024-07-30,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp M,La Chapelle Arena
2024-07-30,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp K,La Chapelle Arena
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp I,La Chapelle Arena
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp D,La Chapelle Arena
2024-07-30,SWM,Men''s 100m Freestyle,Men''s 100m Freestyle Semifinals,Paris La Defense Arena
2024-07-30,SWM,Men''s 200m Butterfly,Men''s 200m Butterfly Semifinals,Paris La Defense Arena
2024-07-30,FBL,Men,Men''s Group D,La Beaujoire Stadium
2024-07-30,SWM,Women''s 100m Backstroke,Women''s 100m Backstroke Final,Paris La Defense Arena
2024-07-30,SWM,Men''s 800m Freestyle,Men''s 800m Freestyle Final,Paris La Defense Arena
2024-07-30,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-30,SWM,Women''s 100m Freestyle,Women''s 100m Freestyle Semifinals,Paris La Defense Arena
2024-07-30,SWM,Men''s 200m Breaststroke,Men''s 200m Breaststroke Semifinals,Paris La Defense Arena
2024-07-30,SWM,Men''s 4 x 200m Freestyle Relay,Men''s 4 x 200m Freestyle Relay Final,Paris La Defense Arena
2024-07-31,TRI,Women''s Individual,Women''s Individual,Pont Alexandre III
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp H,La Chapelle Arena
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp K,La Chapelle Arena
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp C,La Chapelle Arena
2024-07-31,VBV,Men,Men''s Preliminary - Pool E - Matches,Eiffel Tower Stadium
2024-07-31,HBL,Men,Men''s Preliminary Round Group B,South Paris Arena 6
2024-07-31,SHO,50m Rifle 3 Positions Men,50m Rifle 3 Pos. Men''s Qualification,Chateauroux Shooting Ctr
2024-07-31,SHO,Trap Women,Trap Women''s Qualification,Chateauroux Shooting Ctr
2024-07-31,VVO,Men,Men''s Preliminary Round - Pool B,South Paris Arena 1
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp M,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp P,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp L,La Chapelle Arena
2024-07-31,ROW,Lightweight Men''s Double Sculls,LWT Men''s Double Sculls Finals,Nautical St - Flat water
2024-07-31,ROW,Lightweight Women''s Double Sculls,LWT Women''s Double Sculls Finals,Nautical St - Flat water
2024-07-31,ROW,Men''s Single Sculls,Men''s Single Sculls Semifinals,Nautical St - Flat water
2024-07-31,VBV,Women,Women''s Preliminary - Pool F - Matches,Eiffel Tower Stadium
2024-07-31,EQU,Dressage Team,Dressage Team Grand Prix,Ch̢teau de Versailles
2024-07-31,EQU,Dressage Individual,Dressage Individual Grand Prix,Ch̢teau de Versailles
2024-07-31,HOC,Women,Women''s Pool B,Yves-du-Manoir Stadium
2024-07-31,JUD,Women -70 kg,Women -70 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-31,JUD,Men -90 kg,Men -90 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-31,TTE,Men''s Singles,Men''s Singles Round of 32,South Paris Arena 4
2024-07-31,TTE,Women''s Singles,Women''s Singles Round of 32,South Paris Arena 4
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp C,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp A,La Chapelle Arena
2024-07-31,ROW,Women''s Single Sculls,Women''s Single Sculls Semifinals,Nautical St - Flat water
2024-07-31,ROW,Men''s Pair,Men''s Pair Semifinals,Nautical St - Flat water
2024-07-31,TRI,Men''s Individual,Men''s Individual,Pont Alexandre III
2024-07-31,JUD,Women -70 kg,Women -70 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-31,ROW,Women''s Pair,Women''s Pair Semifinals,Nautical St - Flat water
