Coach_Code,Name,Gender,Function
4646497,PROST KOSIR Primoz,M,Assistant Coach
4968917,QUESNEL Yannick,M,Goalkeeper Coach
9230002,HERDEIRO Alvaro Francisco,M,Assistant Coach
9230003,MAROJA Gabriel Augusto,M,Assistant Coach
9230006,ALONSO BERNARDO Jessica,F,Assistant Coach
9230010,LARSSON Thomas Erik Daniel,M,Assistant Coach
9230012,CAROU Gonzalo,M,Assistant Coach
9230013,CAZON Guillermo,M,Assistant Coach
9230017,CAAMANO Juan,M,Assistant Coach
9230018,TORRESCUSA Ignacio,M,Assistant Coach
9230020,GJERDE Joar,M,Assistant Coach
9430008,CICHELLO Juan Manuel,M,Assistant Coach
9450042,VASSILIADES Emmanuel,M,Assistant Coach
